property_id,property_address,city,state,county,zip_code,property_type,property_segment,year_built,total_square_feet,market_value,assessed_value,assessment_ratio,tax_rate,annual_taxes,cap_rate,vacancy_rate,expense_ratio,potential_gross_income,effective_gross_income,operating_expenses,net_operating_income,price_per_sqft,assessment_accuracy,last_sale_date,last_sale_price,owner_name,owner_type,property_manager,assessment_date,appeal_deadline,market_area
PROP_000001,1779 Oak Ave,Kansas City,MO,Jackson County,64112,Class B Office,office,1987,177621,26848808.83,6020960.49,0.2243,0.0324,195079.12,0.0872,0.099,0.2779,3243996.14,2922910.68,812299.05,2110611.63,151.16,under_10,2024-01-22,26891943.76,Pacific Real Estate LLC,Private,Pacific Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000002,9754 Center Dr,Kansas City,MO,Jackson County,64117,Retail Strip Center,retail,1995,78563,9333473.0,1843342.67,0.1975,0.0324,59724.3,0.0845,0.159,0.2661,1074643.28,903787.57,240526.96,663260.61,118.8,under_10,2024-06-28,8536339.61,American Properties LP,REIT,American Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000003,811 Industrial Way,Kansas City,MO,Jackson County,64116,Class A Office,office,2006,73587,15990483.07,2620129.93,0.1639,0.0324,84892.21,0.0679,0.2195,0.3707,1725497.62,1346752.83,499302.16,847450.68,217.3,under_10,2024-04-14,16971843.82,National Investments LLC,Private,National Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000004,1754 Business Pkwy,Kansas City,MO,Jackson County,64113,Class A Office,office,2007,366692,104957561.99,22862841.4,0.2178,0.0324,740756.06,0.0737,0.066,0.2966,10993723.91,10268595.52,3045235.97,7223359.55,286.23,under_10,2023-05-16,95810731.84,Premier Investments Corp,REIT,Premier Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000005,4110 First St,Kansas City,MO,Jackson County,64114,Medical Office,office,2001,48994,24063635.32,4952621.39,0.2058,0.0324,160464.93,0.0844,0.1718,0.2842,2838834.36,2351048.23,668233.1,1682815.13,491.15,under_10,2025-01-18,22107608.81,Central Investments Corp,Private,Central Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000006,5255 Park Blvd,Kansas City,MO,Jackson County,64113,Class A Office,office,1993,442075,146274242.17,33016019.78,0.2257,0.0324,1069719.04,0.073,0.0922,0.4386,19028126.04,17273798.11,7575975.94,9697822.18,330.88,under_10,2024-07-31,135155681.38,Central Investments LP,Non-Profit,Central Management LP,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000007,3693 First St,Kansas City,MO,Jackson County,64112,Warehouse,industrial,1979,292579,15175028.04,2551495.41,0.1681,0.0324,82668.45,0.0825,0.2296,0.3198,1841439.57,1418710.27,453732.13,964978.14,51.87,under_10,2024-06-19,16504721.8,Central Real Estate LLC,Government,Central Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000008,9164 Main St,Kansas City,MO,Jackson County,64117,Class A Office,office,1974,332690,67336166.61,11173678.83,0.1659,0.0324,362027.19,0.0764,0.2492,0.3558,7991209.21,5999605.88,2134796.98,3864808.91,202.4,under_10,2023-09-19,66018369.22,National Management Corp,Government,National Management Corp,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000009,3027 Oak Ave,Kansas City,MO,Jackson County,64113,Class B Office,office,2007,10850,3582516.85,687418.67,0.1919,0.0324,22272.36,0.0913,0.1027,0.3501,503162.02,451498.45,158077.38,293421.07,330.19,under_10,2024-06-16,3624839.66,Premier Management Inc,Non-Profit,Premier Management Inc,2024-01-01,2024-06-30,"Kansas City, MO"
PROP_000010,5138 Park Blvd,Kansas City,MO,Jackson County,64112,Class B Office,office,2022,10149,2585718.82,450260.05,0.1741,0.0324,14588.43,0.0797,0.0724,0.3226,304063.28,282057.14,90990.55,191066.59,254.78,under_10,2024-12-22,2956498.88,American Properties LLC,Non-Profit,American Management LLC,2024-01-01,2024-06-30,"Kansas City, MO"
