property_id,property_address,city,state,zip_code,property_type,property_segment,year_built,total_square_feet,market_value,assessed_value,assessment_ratio,tax_rate,annual_taxes,cap_rate,vacancy_rate,expense_ratio,potential_gross_income,effective_gross_income,operating_expenses,net_operating_income,price_per_sqft,assessment_accuracy,last_sale_date,last_sale_price,owner_name,owner_type,property_manager,assessment_date,appeal_deadline,market_area
PROP_000001,9774 Center Dr,New York,NY,10001,Class A Office,office,1963,398786,229439870.0,99526244.81,0.4338,0.021,2090051.14,0.0696,0.0705,0.3591,24925070.85,23167877.41,8318966.35,14848911.06,575.35,fair,2025-01-10,192150865.46,United Realty Real Estate,Private,Rodriguez Holdings LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000002,5614 Oak Ave,New York,NY,10002,Medical Office,office,1995,434374,596346331.02,273673035.51,0.4589,0.021,5747133.75,0.0462,0.1181,0.4414,49346117.56,43520803.28,19211937.18,24308866.1,1372.89,fair,2021-02-06,500147647.4,Martinez Group LLC,Government,Miller Properties Real Estate,2024-01-01,2024-06-30,"New York, NY"
PROP_000003,3914 Oak Ave,New York,NY,10011,Class C Office,office,2006,312698,184014464.32,79045639.22,0.4296,0.021,1659958.42,0.0516,0.0956,0.266,12929296.32,11693518.64,3109989.45,8583529.18,588.47,fair,2022-03-31,180585193.02,Williams Partners Investment Group,Private,Johnson Ventures Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000004,1016 First St,New York,NY,10001,Corporate Campus,office,1991,95669,79296514.76,37430218.94,0.472,0.021,786034.6,0.0623,0.178,0.3869,8055148.58,6621332.52,2561944.85,4059387.67,828.86,fair,2016-05-02,73442942.72,First Ventures Investment Group,Private,Miller Management Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000005,3693 Park Blvd,New York,NY,10017,Class C Office,office,1977,139303,154615877.7,62025151.05,0.4012,0.021,1302528.17,0.0759,0.1669,0.3299,17515286.52,14591683.97,4813506.18,9778177.79,1109.92,under_10,2019-10-30,129315117.58,National Investments Corp,Government,Miller Holdings Development,2024-01-01,2024-06-30,"New York, NY"
PROP_000006,5673 Oak Ave,New York,NY,10005,Medical Office,office,1992,300049,395969462.45,181398660.73,0.4581,0.021,3809371.88,0.0754,0.0729,0.4002,49769140.41,46140455.03,18464282.43,27676172.6,1319.68,fair,2020-06-27,341825826.35,Premier Trust Corp,Non-Profit,Jones Trust Development,2024-01-01,2024-06-30,"New York, NY"
PROP_000007,8105 Main St,New York,NY,10002,Class B Office,office,1979,206038,232793277.76,95991538.91,0.4123,0.021,2015822.32,0.0767,0.2345,0.3698,28346844.47,21699883.16,8024376.29,13675506.87,1129.86,under_10,2021-04-17,268058840.68,Jones Capital LLC,Private,Johnson Properties Holdings,2024-01-01,2024-06-30,"New York, NY"
PROP_000008,8935 Technology Dr,New York,NY,10004,Class A Office,office,1976,77314,78316496.69,31293318.61,0.3996,0.021,657159.69,0.0643,0.1555,0.4429,9033682.63,7628631.0,3378511.5,4250119.5,1012.97,under_10,2017-05-14,72418208.51,Garcia Management Real Estate,Government,First Properties Investment Group,2024-01-01,2024-06-30,"New York, NY"
PROP_000009,5513 Oak Ave,New York,NY,10017,Class A Office,office,1989,318512,168064239.08,77200785.96,0.4594,0.021,1621216.51,0.0427,0.0618,0.2563,9648386.44,9052359.75,2319962.22,6732397.53,527.65,fair,2022-09-11,153172219.05,Rodriguez Investments Development,Non-Profit,Davis Holdings LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000010,1712 Main St,New York,NY,10011,Class A Office,office,1972,355496,267624754.67,144003476.92,0.5381,0.021,3024073.02,0.0422,0.2228,0.3807,18221750.36,14162539.33,5391552.64,8770986.68,752.82,over_20,2017-03-13,250422114.35,Brown Capital LP,Non-Profit,Miller Investments Properties,2024-01-01,2024-06-30,"New York, NY"
PROP_000011,8956 Main St,New York,NY,10002,Medical Office,office,1991,468482,646610876.12,382927953.01,0.5922,0.021,8041487.01,0.0439,0.2212,0.3804,45832984.46,35695031.78,13579424.49,22115607.29,1380.23,over_30,2016-11-29,736799057.85,Metropolitan Management LP,Government,Williams Holdings Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000012,8073 Park Blvd,New York,NY,10004,Medical Office,office,1993,495762,614811448.73,356575166.66,0.58,0.021,7488078.5,0.0692,0.1893,0.4067,71726601.77,58147443.41,23646954.88,34500488.53,1240.13,over_30,2022-01-13,545387160.88,Central Realty Investment Group,REIT,Metropolitan Trust Real Estate,2024-01-01,2024-06-30,"New York, NY"
PROP_000013,9433 First St,New York,NY,10018,Class B Office,office,1967,276248,97688693.96,42063135.84,0.4306,0.021,883325.85,0.0745,0.0636,0.3308,10870680.61,10179390.42,3366885.4,6812505.02,353.63,fair,2018-09-11,79703879.6,United Ventures Real Estate,Institutional,Brown Partners LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000014,9324 Oak Ave,New York,NY,10002,Class C Office,office,2010,78617,102378908.98,45873440.47,0.4481,0.021,963342.25,0.0774,0.2358,0.2519,10595834.11,8097297.58,2039410.4,6057887.18,1302.25,fair,2019-05-02,90632129.56,Pacific Properties LP,Institutional,Metropolitan Trust Properties,2024-01-01,2024-06-30,"New York, NY"
PROP_000015,1853 Technology Dr,New York,NY,10017,Corporate Campus,office,1961,360152,429285320.63,201518988.13,0.4694,0.021,4231898.75,0.0751,0.0707,0.3029,46262771.68,42991193.36,13021739.45,29969453.91,1191.96,fair,2023-08-15,390194292.37,Garcia Capital Properties,Non-Profit,Smith Properties Capital,2024-01-01,2024-06-30,"New York, NY"
PROP_000016,7107 Commerce Dr,New York,NY,10001,Class C Office,office,1965,11858,7611894.03,3472318.48,0.4562,0.021,72918.69,0.0696,0.1024,0.3603,828814.31,743951.14,268072.44,475878.7,641.92,fair,2024-02-09,6318614.54,Williams Trust LLC,Institutional,Williams Holdings Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000017,9273 Center Dr,New York,NY,10018,Class A Office,office,1999,201182,295471162.03,138266205.58,0.468,0.021,2903590.32,0.05,0.092,0.2706,20245632.72,18382724.6,4973606.52,13409118.08,1468.68,fair,2016-12-16,254643351.41,Williams Investments Capital,REIT,Pacific Holdings LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000018,7641 Market St,New York,NY,10005,Class C Office,office,1980,422811,448265887.66,245667100.28,0.548,0.021,5159009.11,0.0489,0.2217,0.4133,37360934.98,29077318.9,12018159.55,17059159.35,1060.2,over_20,2016-02-29,501223212.59,American Capital Capital,Institutional,National Group Investment Group,2024-01-01,2024-06-30,"New York, NY"
PROP_000019,9612 Broadway,New York,NY,10001,Corporate Campus,office,2011,366263,646290821.4,259979936.76,0.4023,0.021,5459578.67,0.0751,0.0555,0.3022,69543566.89,65682500.62,19852078.61,45830422.0,1764.55,under_10,2024-02-23,671256067.68,Garcia Holdings Development,Non-Profit,United Capital Properties,2024-01-01,2024-06-30,"New York, NY"
PROP_000020,7166 Oak Ave,New York,NY,10010,Class A Office,office,2015,10886,12323386.2,5028275.36,0.408,0.021,105593.78,0.0695,0.2381,0.2894,1204975.96,918128.27,265712.77,652415.5,1132.04,under_10,2018-05-17,11406110.45,Jones Trust Properties,Government,Jones Trust Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000021,4800 First St,New York,NY,10011,Class B Office,office,2013,358614,622417257.73,283323197.45,0.4552,0.021,5949787.15,0.0619,0.1102,0.2501,51390247.58,45727557.48,11435601.9,34291955.59,1735.62,fair,2016-07-20,642330821.0,Davis Management Holdings,Private,Williams Properties Properties,2024-01-01,2024-06-30,"New York, NY"
PROP_000022,4111 Industrial Way,New York,NY,10018,Corporate Campus,office,2002,58961,82832482.23,37918706.25,0.4578,0.021,796292.83,0.048,0.0949,0.2549,5332165.86,4825993.31,1230073.68,3595919.63,1404.87,fair,2015-11-01,91728337.59,Martinez Capital Capital,Government,Williams Realty Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000023,2284 Industrial Way,New York,NY,10017,Medical Office,office,1988,102215,122387651.91,49496712.79,0.4044,0.021,1039430.97,0.0767,0.1615,0.2743,12934573.95,10845883.96,2974719.25,7871164.71,1197.36,under_10,2019-02-04,127060525.96,Davis Ventures Real Estate,Government,Rodriguez Management Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000024,1369 Technology Dr,New York,NY,10005,Medical Office,office,2017,145891,219890648.62,101581039.34,0.462,0.021,2133201.83,0.0651,0.1543,0.3049,20585055.31,17409605.45,5308528.0,12101077.45,1507.23,fair,2022-09-25,199811563.35,Rodriguez Properties Corp,Private,Global Capital Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000025,420 Business Pkwy,New York,NY,10011,Medical Office,office,2012,183477,208447442.75,110590735.87,0.5305,0.021,2322405.45,0.0556,0.2166,0.404,19437116.8,15227460.37,6151272.02,9076188.36,1136.1,over_20,2020-01-06,167249563.62,Miller Holdings Real Estate,Non-Profit,Brown Management LP,2024-01-01,2024-06-30,"New York, NY"
PROP_000026,2191 Business Pkwy,New York,NY,10017,Class C Office,office,2015,264616,103668459.09,51662523.23,0.4983,0.021,1084912.99,0.069,0.2096,0.4181,12286892.9,9711210.41,4060268.07,5650942.34,391.77,over_10,2025-01-22,120542734.34,Smith Properties Capital,Private,Williams Realty Properties,2024-01-01,2024-06-30,"New York, NY"
PROP_000027,4233 Oak Ave,New York,NY,10016,Medical Office,office,2001,120970,109953419.96,54995660.26,0.5002,0.021,1154908.87,0.0701,0.1258,0.4164,13203185.3,11541891.3,4805868.76,6736022.54,908.93,over_10,2025-02-22,120905847.63,Pacific Capital Inc,REIT,Brown Capital Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000028,2849 Business Pkwy,New York,NY,10018,Corporate Campus,office,1979,135066,54847109.49,24839083.87,0.4529,0.021,521620.76,0.068,0.0936,0.4034,6249249.57,5664364.13,2284889.05,3379475.08,406.08,fair,2016-12-22,59637614.62,Williams Group Inc,Non-Profit,Premier Ventures Capital,2024-01-01,2024-06-30,"New York, NY"
PROP_000029,2083 Business Pkwy,New York,NY,10001,Medical Office,office,1985,49844,46654548.09,20158756.48,0.4321,0.021,423333.89,0.074,0.2045,0.3701,5481642.95,4360667.93,1613806.12,2746861.81,936.01,fair,2021-06-20,47265633.94,Johnson Trust Investment Group,REIT,Davis Properties Capital,2024-01-01,2024-06-30,"New York, NY"
PROP_000030,8917 Industrial Way,New York,NY,10016,Class C Office,office,2018,380833,226091910.1,104120024.76,0.4605,0.021,2186520.52,0.0508,0.2431,0.4116,19522420.2,14776622.42,6082646.54,8693975.87,593.68,fair,2020-06-23,255550293.12,Garcia Capital Inc,Institutional,Brown Management Development,2024-01-01,2024-06-30,"New York, NY"
PROP_000031,9867 Technology Dr,New York,NY,10005,Corporate Campus,office,2008,186368,68521530.6,33486501.41,0.4887,0.021,703216.53,0.0719,0.0924,0.3181,7225951.15,6558100.06,2085920.25,4472179.81,367.67,over_10,2019-02-17,55095452.44,Johnson Capital Capital,Government,Brown Management Holdings,2024-01-01,2024-06-30,"New York, NY"
PROP_000032,8798 Market St,New York,NY,10011,Medical Office,office,1962,58786,35106586.15,19102989.16,0.5441,0.021,401162.77,0.0633,0.1112,0.3447,3388918.6,3011931.21,1038068.41,1973862.8,597.19,over_20,2016-12-30,35814173.06,Davis Group Properties,Institutional,First Partners Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000033,1747 First St,New York,NY,10005,Corporate Campus,office,1983,110422,56164773.1,32562655.63,0.5798,0.021,683815.77,0.0704,0.1679,0.3694,6270543.37,5217610.15,1927166.82,3290443.33,508.64,over_30,2022-10-24,53039339.83,Rodriguez Investments Properties,REIT,Rodriguez Group Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000034,7927 Oak Ave,New York,NY,10002,Medical Office,office,1973,467556,129256742.84,57987529.98,0.4486,0.021,1217738.13,0.0474,0.1381,0.2603,8278052.6,7134905.19,1857039.9,5277865.29,276.45,fair,2020-11-13,128830017.75,Smith Investments Corp,Non-Profit,Johnson Capital Management,2024-01-01,2024-06-30,"New York, NY"
PROP_000035,9742 Center Dr,New York,NY,10005,Corporate Campus,office,2013,327885,401809947.15,152005913.74,0.3783,0.021,3192124.19,0.058,0.1545,0.3385,35245356.75,29799437.83,10088426.86,19711010.96,1225.46,under_15,2018-12-26,421261939.74,Johnson Capital LP,Institutional,Williams Capital Corp,2024-01-01,2024-06-30,"New York, NY"
PROP_000036,4732 Technology Dr,New York,NY,10016,Corporate Campus,office,1969,92068,24448071.34,14410458.09,0.5894,0.021,302619.62,0.0413,0.144,0.3076,1458510.56,1248510.57,384068.04,864442.53,265.54,over_30,2024-07-25,26280551.29,Martinez Capital Capital,REIT,Williams Group Corp,2024-01-01,2024-06-30,"New York, NY"
